title,id,reviewlink
Midsommar,8772262,https://www.imdb.com/title/tt8772262/reviews?ref_=tt_urv
Bridgerton,8740790,https://www.imdb.com/title/tt8740790/reviews?ref_=tt_urv
Pulp Fiction,0110912,https://www.imdb.com/title/tt0110912/reviews?ref_=tt_urv
American Rust,1532495,https://www.imdb.com/title/tt1532495/reviews?ref_=tt_urv
Friday Night Lights,0758745,https://www.imdb.com/title/tt0758745/reviews?ref_=tt_urv
Doctor Sleep,5606664,https://www.imdb.com/title/tt5606664/reviews?ref_=tt_urv
Chhorii,12861212,https://www.imdb.com/title/tt12861212/reviews?ref_=tt_urv
Dynasty,6128300,https://www.imdb.com/title/tt6128300/reviews?ref_=tt_urv
The Equalizer,11242246,https://www.imdb.com/title/tt11242246/reviews?ref_=tt_urv
Buffy the Vampire Slayer,0118276,https://www.imdb.com/title/tt0118276/reviews?ref_=tt_urv
Close to Me,6831266,https://www.imdb.com/title/tt6831266/reviews?ref_=tt_urv
